method	Ne	init	s_true	nrep	npos	npos_den	ntrue	propPos	propPos_den	propTrue	rmse
slattice	10000	0.1	0.02	1000	534	534	915	0.534	0.534	0.915	0.0125038201403311
sr	10000	0.1	0.02	1000	802	997	780	0.802	0.997	0.78	0.00904201284306883
bmws	10000	0.1	0.02	1000	0	0	0	0	0	0	0.0130084208580058
approxwf	10000	0.1	0.02	1000	721	877	976	0.721	0.877	0.976	0.00701193542058582
